code,park,ent18
DOM-AND,andrés,1
DOM-BAN,baní,6
DOM-BAR,barahona,2
DOM-VIS,bella vista,1
DOM-BON,bonao,4
DOM-CIP,caribbean industrial park,32
DOM-CHE,chemtec,8
DOM-CIB,cibernético,5
DOM-CON,conacado industrial park,2
DOM-DOS,dos rios,1
DOM-LIM,el limonal,4
DOM-SEI,el seibo,2
DOM-ESP,esperanza,6
DOM-EXC,excel boca chica,1
DOM-GLO,global zona franca industrial,2
DOM-GUR,gurabo,8
DOM-HAI,hainamosa,5
DOM-HAT,hato mayor,1
DOM-HAN,hato nuevo,4
DOM-TAL,intercontinental,1
DOM-INT,interexport free zone,1
DOM-ARM,la armería,7
DOM-HIP,la herradura industrial park,1
DOM-HIS,la hispaniola,1
DOM-PAL,la palma,8
DOM-ROM,la romana i,5
DOM-RII,la romana ii,5
DOM-VEG,la vega,18
DOM-LAS,las américas,26
DOM-ALC,los alcarrizos,9
DOM-RIE,los rieles,2
DOM-ROB,los robles,0
DOM-MOC,moca,9
DOM-MUL,multimodal caucedo,8
DOM-MUT,multiparques,2
DOM-NAV,navarrete,9
DOM-NIG,nigua,8
DOM-PAB,palmar abajo,1
DOM-PAM,palmarejo,5
DOM-SUN,parque industrial zona franca sunsea,1
DOM-CDF,parque industrial cdf,1
DOM-CTQ,zona franca industrial ctq,2
DOM-INE,parque industrial inetab,2
DOM-KGC,parque industrial kg compañía comercial,1
DOM-YAQ,parque industrial y de servicios yaque,1
DOM-SLI,parque tecnológico de santiago,9
DOM-HER,parque z.f. tecnológica de herrera,2
DOM-PED,pedernales,1
DOM-PER,perlav,3
DOM-PIS,pisano,26
DOM-PUE,puerto plata,8
DOM-QUI,quisqueya,1
DOM-CRI,san cristóbal (itabo),36
DOM-FRA,san francisco de macorís,2
DOM-ISI,san isidro,32
DOM-MAC,san pedro de macorís,48
DOM-S12,santiago,77
DOM-JAN,Ecopark Industrial Free Zone,2
DOM-TAM,tamboril,12
DOM-ALT,villa altagracia,4
DOM-MEL,villa mella,5
DOM-INF,z.f. ind. y de servicios norte infiesto,1
DOM-MAI,zona franca bahía de maimón,2
DOM-6NO,zona franca industrial 6 de noviembre,1
DOM-NOR,zona franca industrial del norte,4
DOM-SUR,zona franca industrial del sur,1
DOM-EMI,zona franca inustrial. emimar,5
DOM-SAG,zona franca industrial sag,1
DOM-JOB,zona franca jobo industrial,3
DOM-ZFE,zonas francas especiales,0
DOM-CAD,los calderones ,2
DOM-ELV,Parque industrial Eva Maria ,1
DOM-RSU,Zona Franca Rio Sur,1
DOM-NII,Nigua II ,1
DOM-HIT,Zona Franca Industrial HIT ,1
DOM-LEO,Eduardo Leon Jimenez,1
